Settlement Day,Settlement Period,BSUoS Price
13/01/2014,36,0.97321
13/01/2014,37,1.12385
13/01/2014,38,1.2269
13/01/2014,39,1.4134
13/01/2014,40,1.4189
13/01/2014,41,1.22028
13/01/2014,42,0.96146
13/01/2014,43,0.94351
13/01/2014,44,1.06517
13/01/2014,45,1.16513
13/01/2014,46,1.15156
13/01/2014,47,1.31718
13/01/2014,48,1.22935
14/01/2014,1,0.79466
14/01/2014,2,1.27957
14/01/2014,3,1.23256
14/01/2014,4,0.81509
14/01/2014,5,0.69111
14/01/2014,6,1.06356
14/01/2014,7,1.03547
14/01/2014,8,0.78101
14/01/2014,9,0.55995
14/01/2014,10,0.53726
14/01/2014,11,0.92664
14/01/2014,12,0.90125
14/01/2014,13,1.1114
14/01/2014,14,0.42395
14/01/2014,15,1.22896
14/01/2014,16,1.48925
14/01/2014,17,1.25841
14/01/2014,18,1.05055
14/01/2014,19,0.96146
14/01/2014,20,0.88482
14/01/2014,21,0.77032
14/01/2014,22,0.67236
14/01/2014,23,0.64585
14/01/2014,24,0.6751
14/01/2014,25,0.77302
14/01/2014,26,0.83366
14/01/2014,27,0.73407
14/01/2014,28,0.48317
14/01/2014,29,0.5276
14/01/2014,30,0.22135
14/01/2014,31,0.27971
14/01/2014,32,0.54916
14/01/2014,33,0.68365
14/01/2014,34,0.63623
14/01/2014,35,0.56571
14/01/2014,36,0.49576
14/01/2014,37,0.60168
14/01/2014,38,0.76944
14/01/2014,39,0.9617
14/01/2014,40,1.14974
14/01/2014,41,1.37629
14/01/2014,42,1.49885
14/01/2014,43,1.22295
14/01/2014,44,0.94285
14/01/2014,45,1.30554
14/01/2014,46,1.57205
14/01/2014,47,1.56468
14/01/2014,48,1.38925
15/01/2014,1,1.73909
15/01/2014,2,1.76169
15/01/2014,3,1.85425
15/01/2014,4,1.42765
15/01/2014,5,1.23279
15/01/2014,6,1.19302
15/01/2014,7,1.40297
15/01/2014,8,1.41389
15/01/2014,9,1.43905
15/01/2014,10,1.07039
15/01/2014,11,1.38648
15/01/2014,12,0.93212
15/01/2014,13,1.39352
15/01/2014,14,1.44501
15/01/2014,15,1.35786
15/01/2014,16,1.44143
15/01/2014,17,1.40937
15/01/2014,18,1.36134
15/01/2014,19,1.43724
15/01/2014,20,1.50194
15/01/2014,21,1.6236
15/01/2014,22,1.34389
15/01/2014,23,1.42558
15/01/2014,24,1.30587
15/01/2014,25,1.31161
15/01/2014,26,1.28775
15/01/2014,27,1.27771
15/01/2014,28,0.97604
15/01/2014,29,1.26987
15/01/2014,30,0.98446
15/01/2014,31,0.9092
15/01/2014,32,1.08999
15/01/2014,33,1.21016
15/01/2014,34,1.7776
15/01/2014,35,1.58922
15/01/2014,36,1.50279
15/01/2014,37,1.91578
15/01/2014,38,1.4468
15/01/2014,39,1.73772
15/01/2014,40,1.61257
15/01/2014,41,1.44746
15/01/2014,42,1.79714
15/01/2014,43,1.42101
15/01/2014,44,1.06405
15/01/2014,45,0.86937
15/01/2014,46,0.99868
15/01/2014,47,1.10423
15/01/2014,48,1.00799
16/01/2014,1,1.07922
16/01/2014,2,1.34035
16/01/2014,3,1.14812
16/01/2014,4,0.91183
16/01/2014,5,0.87926
16/01/2014,6,0.79179
16/01/2014,7,0.92644
16/01/2014,8,0.92488
16/01/2014,9,0.79966
16/01/2014,10,1.30029
16/01/2014,11,1.10577
16/01/2014,12,1.00758
16/01/2014,13,1.59394
16/01/2014,14,1.88581
16/01/2014,15,1.9399
16/01/2014,16,1.83097
16/01/2014,17,1.50992
16/01/2014,18,1.07227
16/01/2014,19,1.12088
16/01/2014,20,1.09125
16/01/2014,21,1.06169
16/01/2014,22,0.84467
16/01/2014,23,1.00049
16/01/2014,24,1.07577
16/01/2014,25,1.03215
16/01/2014,26,0.89987
16/01/2014,27,0.99733
16/01/2014,28,0.74442
16/01/2014,29,1.15526
16/01/2014,30,1.18654
16/01/2014,31,1.34348
16/01/2014,32,1.80213
16/01/2014,33,1.87787
16/01/2014,34,2.28022
16/01/2014,35,1.87319
16/01/2014,36,1.48256
16/01/2014,37,1.15706
16/01/2014,38,0.67948
16/01/2014,39,0.89592
16/01/2014,40,1.03984
16/01/2014,41,1.37192
16/01/2014,42,1.13731
16/01/2014,43,1.60607
16/01/2014,44,1.37115
16/01/2014,45,1.54323
16/01/2014,46,1.20672
16/01/2014,47,0.93965
16/01/2014,48,0.70861
17/01/2014,1,0.86834
17/01/2014,2,1.29516
17/01/2014,3,1.11858
17/01/2014,4,0.82183
17/01/2014,5,0.95974
17/01/2014,6,1.03884
17/01/2014,7,0.73689
