Date,Period,BSUoS
14/01/2017,20,2.27867
14/01/2017,21,2.93299
14/01/2017,22,3.10163
14/01/2017,23,2.79342
14/01/2017,24,2.56377
14/01/2017,25,2.58382
14/01/2017,26,2.69666
14/01/2017,27,3.72648
14/01/2017,28,3.17741
14/01/2017,29,2.47797
14/01/2017,30,2.29944
14/01/2017,31,2.34935
14/01/2017,32,2.7382
14/01/2017,33,2.93741
14/01/2017,34,3.17146
14/01/2017,35,3.00657
14/01/2017,36,3.21088
14/01/2017,37,2.97118
14/01/2017,38,2.91082
14/01/2017,39,3.03673
14/01/2017,40,2.70464
14/01/2017,41,2.67116
14/01/2017,42,2.37845
14/01/2017,43,2.27035
14/01/2017,44,2.14648
14/01/2017,45,2.10803
14/01/2017,46,2.17642
14/01/2017,47,2.78374
14/01/2017,48,2.70739
15/01/2017,1,2.76295
15/01/2017,2,2.68825
15/01/2017,3,2.54752
15/01/2017,4,2.22001
15/01/2017,5,2.04806
15/01/2017,6,1.86252
15/01/2017,7,1.91157
15/01/2017,8,1.59566
15/01/2017,9,1.36204
15/01/2017,10,1.11277
15/01/2017,11,1.08618
15/01/2017,12,1.13998
15/01/2017,13,1.35426
15/01/2017,14,1.40964
15/01/2017,15,1.56549
15/01/2017,16,1.50514
15/01/2017,17,1.51544
15/01/2017,18,1.9401
15/01/2017,19,2.50336
15/01/2017,20,2.83115
15/01/2017,21,2.93648
15/01/2017,22,3.08578
15/01/2017,23,3.26005
15/01/2017,24,2.87037
15/01/2017,25,2.7735
15/01/2017,26,3.01025
15/01/2017,27,2.75351
15/01/2017,28,2.37646
15/01/2017,29,2.16343
15/01/2017,30,2.14511
15/01/2017,31,2.24311
15/01/2017,32,1.9186
15/01/2017,33,3.01448
15/01/2017,34,3.42277
15/01/2017,35,2.91344
15/01/2017,36,2.66812
15/01/2017,37,2.72952
15/01/2017,38,2.74248
15/01/2017,39,2.76531
15/01/2017,40,2.68501
15/01/2017,41,2.33205
15/01/2017,42,1.97532
15/01/2017,43,1.79634
15/01/2017,44,1.4363
15/01/2017,45,1.30961
15/01/2017,46,1.64192
15/01/2017,47,1.53201
15/01/2017,48,1.47965
16/01/2017,1,1.27506
